ID,DOI,Abstract
14,10.1016/j.preghy.2018.10.008,"Abstract Objective Self monitoring of blood pressure in pregnancy is increasingly popular with both health care professionals and patients. We assessed the validity of the iHealth Track and Omron HEM-9210T automated blood pressure devices (with Bluetooth connectivity) for the use in telemonitoring of blood pressure in pregnancy. Methods In this prospective observational study, the revised 2010 International Protocol of the European Hypertension Society (EHS) was used for the validation of the two devices against auscultatory sphygmomanometry by two independent observers who took 13 same arm measurements in 33 pregnant women, of which 10 were diagnosed with preeclampsia. The measurements were alternated between the test device and a calibrated aneroid sphygmomanometer following the protocol. Both automated devices were assessed sequentially in the same women. Results In the group of 33 women, the iHealth Track passed the EHS 2010 validation criteria with 86/98/99 of 99 device-observer systolic measurement comparisons and 88/96/98 of 99 device-observer diastolic measurement comparisons within the 5/10/15 mmHg boundaries respectively. The Omron HEM-9210T passed the same criteria with 85/94/99 of 99 device-observer systolic measurement comparisons and 82/95/99 of 99 device-observer diastolic measurement comparisons. Conclusions The iHealth Track and Omron HEM-9210T automated blood pressure monitors are validated for use in pregnancy. These two devices can now be added to the short list of validated devices in pregnancy and can be used for self-measurement of blood pressure in a telemonitoring setting of pregnant patients with (a high risk of) hypertensive disease."
15,10.1056/nejmra060433,"Blood pressure is inherently variable, and ambulatory measurements of blood pressure predict clinical outcomes better than do conventional, clinic-based measurements. Ambulatory monitoring can help identify “white-coat” hypertension, as well as patients whose blood pressure does not decrease the normal amount during the night. Ambulatory blood-pressure monitoring is practical, can lead to a reduction in health care costs, and can provide improved estimates of true blood pressures to guide decisions about treatment."
16,10.1109/JBHI.2016.2620995,"Abstract The year 2016 marks the 200th birth anniversary of Carl Friedrich Wilhelm Ludwig (1816-1895). As one of the most remarkable scientists, Ludwig invented the kymograph, which for the first time enabled the recording of continuous blood pressure (BP), opening the door to the modern study of physiology. Almost a century later, intraarterial BP monitoring through an arterial line has been used clinically. Subsequently, arterial tonometry and volume clamp method were developed and applied in continuous BP measurement in a noninvasive way. In the last two decades, additional efforts have been made to transform the method of unobtrusive continuous BP monitoring without the use of a cuff. This review summarizes the key milestones in continuous BP measurement; that is, kymograph, intraarterial BP monitoring, arterial tonometry, volume clamp method, and cuffless BP technologies. Our emphasis is on recent studies of unobtrusive BP measurements as well as on challenges and future directions."
17,10.5888/pcd13.150348,"Abstract Introduction Blood pressure measurement in clinical care settings seldom follows the protocol recommended by national guidelines, potentially leading to overestimates or underestimates of blood pressure control. We evaluated blood pressure measurement methods as a source of bias in determining blood pressure control among community-dwelling adults with diabetes. Methods In a community-based trial of patients with diabetes, we measured both “clinical blood pressure” (clinical BP) (taken by a community nurse or medical assistant instructed to “take the participant’s blood pressure like you do in your own clinic”) and “research blood pressure” (research BP) (research staff followed a guideline-concordant protocol). Each participant had both types of blood pressure assessment on the same day over the course of 2 hours. Results The 227 participants had a mean age of 59 years; 86% were black and 74% were women. The mean clinical BP was 5 mm Hg higher than the mean research BP for systolic blood pressure (P < .001) and 2 mm Hg higher for diastolic blood pressure (P < .001). The proportion of participants whose clinical BP was 130/80 mm Hg or higher was 8 percentage points higher than the proportion whose research BP was 130/80 mm Hg or higher (P < .001), and the proportion whose clinical BP was 140/90 mm Hg or higher was 10 percentage points higher than the proportion whose research BP was 140/90 mm Hg or higher (P < .001). Among those aged 65 years or older, the proportion whose clinical BP was 130/80 mm Hg or higher was 10 percentage points higher than proportion whose research BP was 130/80 mm Hg or higher, and the proportion whose clinical BP was 140/90 mm Hg or higher was 14 percentage points higher than the proportion whose research BP was 140/90 mm Hg or higher. Whites and smokers had the greatest risk for having a clinical BP 5 mm Hg or more higher than their research BP. Conclusion Measurement biases in clinical settings may be a component of observed poor blood pressure control rates in real-world settings."
18,10.1073/pnas.1516047113,"Significance The present work examines beliefs associated with racial bias in pain management, a critical health care domain with well-documented racial disparities. Specifically, this work reveals that a substantial number of white laypeople and medical students and residents hold false beliefs about biological differences between blacks and whites and demonstrates that these beliefs predict racial bias in pain perception and treatment recommendation accuracy. It also provides the first evidence that racial bias in pain perception is associated with racial bias in pain treatment recommendations. Taken together, this work provides evidence that false beliefs about biological differences between blacks and whites continue to shape the way we perceive and treat black people—they are associated with racial disparities in pain assessment and treatment recommendations. Abstract Black Americans are systematically undertreated for pain relative to white Americans. We examine whether this racial bias is related to false beliefs about biological differences between blacks and whites (e.g., “black people’s skin is thicker than white people’s skin”). Study 1 documented these beliefs among white laypersons and revealed that participants who more strongly endorsed false beliefs about biological differences reported lower pain ratings for a black (vs. white) target. Study 2 extended these findings to the medical context and found that half of a sample of white medical students and residents endorsed these beliefs. Moreover, participants who endorsed these beliefs rated the black (vs. white) patient’s pain as lower and made less accurate treatment recommendations. Participants who did not endorse these beliefs rated the black (vs. white) patient’s pain as higher, but showed no bias in treatment recommendations. These findings suggest that individuals with at least some medical training hold and may use false beliefs about biological differences between blacks and whites to inform medical judgments, which may contribute to racial disparities in pain assessment and treatment."
19,10.1016/j.ajem.2019.06.014,"Abstract Objective: This review aims to quantify the effect of minority status on analgesia use for acute pain management in US Emergency Department (ED) settings. Methods: We used the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) methodology to perform a review of studies from 1990 to 2018 comparing racial and ethnic differences in the administration of analgesia for acute pain. Studies were included if they measured analgesia use in white patients compared to a racial minority in the ED and studies were excluded if they focused primarily on chronic pain, case reports and survey studies. Following data abstraction, a meta-analysis was performed using fixed and random-effect models to determine primary outcome of analgesia administration stratified by racial and ethnic classification. Results: 763 articles were screened for eligibility and fourteen studies met inclusion criteria for qualitative synthesis. The total study population included 7070 non-Hispanic White patients, 1538 Hispanic, 3125 Black, and 50.3% female. Black patients were less likely than white to receive analgesia for acute pain: OR 0.60 [95%-CI, 0.43-0.83, random effects model]. Hispanics were also less likely to receive analgesia: OR 0.75 [95%-CI, 0.52-1.09]. Conclusion: This study demonstrates the presence of racial disparities in analgesia use for the management of acute pain in US EDs. Further research is needed to examine patient reported outcomes in addition to the presence of disparities in other groups besides Black and Hispanic. Trial registration: Registration number CRD42018104697 in PROSPERO. Keywords: Acute services; Analgesia; Ethnicity; Minorities; Pain management; Race."
20,10.1001/jamainternmed.2022.1903,"Assessment of blood oxygen saturation is an important measure of health on which many diagnostic and treatment decisions are based. Blood oxygen saturation is most commonly assessed via pulse oximetry, with increasing use across the home, clinic, and hospital settings during the COVID-19 pandemic.1 However, inaccuracies in pulse oximetry measurement have come under scientific scrutiny over the past 2 years.2-6 Professional organizations, lawmakers, and the public have actively engaged with the issue.4 A known design flaw of the pulse oximeter is that patients with darker skin (compared with lighter skin) are more likely to experience occult hypoxemia—defined conceptually as substantial arterial hypoxemia (SaO2) detected on blood gas but not noted on simultaneous pulse oximetry (SpO2).1 Less is known about whether underdiagnosis of hypoxemia for historically marginalized racial and ethnic groups has consequences. In their article “Racial and Ethnic Discrepancy in Pulse Oximetry and Delayed Identification of Treatment Eligibility Among Patients With COVID-19,” Dr Fawzy and colleagues evaluate this measurement bias in pulse oximetry among a population of hospitalized patients diagnosed with COVID-19.7 The authors show measurement bias was associated with differences in delay in recognizing patients’ eligibility for COVID-19 treatment, with racial and ethnic minoritized groups being more affected. Although less visible, this is similar to the ways in which race- and ethnicity-based cutoffs in pulmonary function tests and estimated glomerular filtration fraction8 lead to underestimation of disease severity among patients of racial and ethnic minoritized groups, which in turn delays treatment of severe lung disease and limits access to timely kidney replacement therapy, including transplantation. The study by Dr Fawzy and colleagues was a retrospective analysis using a large database from 5 well-resourced hospitals.7 As in other investigations of pulse oximetry, the authors evaluated clinical SaO2 and SpO2 measurements within 10 minutes of each other, a design that allows for head-to-head comparison of pulse oximetry estimations of arterial oxygenation with the gold standard from blood gas analysis. Using race and ethnicity as a proxy for skin color, the authors chose to aggregate the data for Black−Hispanic patients and Black patients into a single study group. Dr Fawzy and colleagues reported higher rates of occult hypoxemia (SaO2 <88% when SpO2 was 92%-96%) for Asian, Black, and Hispanic patients compared with non-Hispanic White patients, as well as delayed or unrecognized eligibility for the US Centers for Disease Control and Prevention guideline-concordant COVID-19 treatments (eg, steroids, remdesivir) for Black and Hispanic patients.7 Using underdetection of a treatment threshold to assess the consequences of undetected hypoxemia was a novel and key feature of this study. Remdesivir has US Food and Drug Administration approved use for patients whose SpO2 level is less than 94%, and dexamethasone is only recommended for patients with COVID-19 who are receiving supplemental oxygen. These findings suggest that underdetection of even mild hypoxemia can delay guideline-appropriate care. Increased mortality and/or differential mortality in patients of racial and ethnic minoritized groups has been demonstrated in studies of acute respiratory distress syndrome,9 a condition defined by arterial hypoxemia and for which treatment decisions frequently are based on pulse oximetry. Racial and ethnic discrepancy in the accuracy of commonly used pulse oximetry might play an important role in the outcome disparities described in the pulmonary literature. A recent investigation by Wong and colleagues3 similarly demonstrated consequences of underdetection of hypoxemia among a population of patients with respiratory disease. In this multicenter, retrospective, cross-sectional study using data from 3 publicly available databases that included 215 hospitals and 382 intensive care units, the authors associated higher odds of hospital mortality, elevated lactate, and high sequential organ failure assessment scores with a higher prevalence of occult hypoxemia among Asian, Black, and Hispanic patients compared with White patients. The outcome of interest (occult hypoxemia) was defined differently than in Dr Fawzy and colleagues’ study (ie, SaO2 < 88% when SpO2 > 88%), yet both studies showed that underdetected arterial hypoxemia was harmful and more frequently encountered in patients of racial and ethnic minoritized groups. Based on prior investigations and the most recent studies on pulse oximetry, 2 questions stand: (1) Why has this racial and ethnic discrepancy in the accuracy of commonly used pulse oximetry not been addressed? (2) How should clinicians respond given the increased awareness of the problem and some of its ramifications? Historical neglect of patients of racial and ethnic minoritized groups and a diminished concern for their health outcomes may explain in part why this phenomenon—differential pulse oximetry accuracy—has been recognized for more than 30 years10 and has not been corrected. Using White patients as the standard in biomedical design has led to both differential care and innovation inertia for optimizing the way devices and algorithms work for patients of racial and ethnic minoritized groups.11 The economics associated with ignoring the issue cannot be excluded from this discussion. Hospitals and practitioners continue to buy and use these devices despite their inaccuracy for non-White patients. The observation that designing a new device and exchanging millions of machines in hospitals and clinics across the country may be deemed unpopular could suggest that racial equity in patient care is not something these institutions are willing to pay for—or at least not enough of a priority to insist on devices that work equitably. Similarly, changing this injustice paradigm presents a challenge for clinicians, in part because of the passivity of medical education—students of medicine are taught how the system works, not how to change it.12 There is no single easy solution to the problem of pulse oximetry’s racial and ethnic bias. Although an easy bedside adjustment for the measurement disparity is an attractive idea, there is no proven approach because of the noise and variable bias of the currently available devices. Interestingly, the design flaws of the pulse oximeter have been corrected in some devices. These improved devices use more wave lengths of light and perform equally for different skin tones; they have been used in limited settings but have not been widely produced or distributed.1 The next generation of oxygen monitors should be designed and tested to work equally on all patients. However, this is an unlikely scenario without market pressure. Hospital systems, medical practitioners, and regulatory entities need to press for regulatory scrutiny and design equity by limiting purchasing choices to devices with equal performance for patients of all skin tones. In the meantime, a clinical strategy for avoiding undertreating hypoxia in patients with darker skin is, unfortunately, lowering the threshold for suspected disease and obtaining more arterial blood gases. Ultimately, pulse oximetry is a (flawed) measure of blood arterial saturation, which is connected to tissue hypoxia through oxygen delivery and uptake. There are multiple clinical trends that can be used to globally assess tissue hypoxia in patients with an array of illnesses. Increasing invasive testing, such as arterial blood gases, puts patients of racial and ethnic minoritized groups at higher risk of rare but possible complications, as well as physical pain, but these need to be balanced against the risks of hypoxemia, which are not uncommon. Although differences in pulse oximetry may seem to be most meaningful near treatment thresholds, certain patient populations (ie, Black patients undergoing extracorporeal membrane oxygenation for acute respiratory distress syndrome) have high rates of occult hypoxemia,4 indicating a need for greater awareness when treating these groups. Moreover, with children, even mild occult hypoxemia can have substantial long-term effects.5 Why tolerate a device that consistently works less well in patients with darker skin tones? Additionally, the association of underdetection of occult hypoxemia with treatment delay cannot be disassociated from the multilevel injustices and persistent disparities underlying the worse COVID-19 outcomes experienced by patients of racial and ethnic minoritized groups. These larger and systemic issues exist outside of device design issues demonstrated by these investigations.7Although the device measurement error is real and based purely on optics, the decision to do nothing about a faulty device is a human one, and one that can and should be corrected."
21,10.1126/science.aax2342,"Abstract Health systems rely on commercial prediction algorithms to identify and help patients with complex health needs. We show that a widely used algorithm, typical of this industry-wide approach and affecting millions of patients, exhibits significant racial bias: At a given risk score, Black patients are considerably sicker than White patients, as evidenced by signs of uncontrolled illnesses. Remedying this disparity would increase the percentage of Black patients receiving additional help from 17.7 to 46.5%. The bias arises because the algorithm predicts health care costs rather than illness, but unequal access to care means that we spend less money caring for Black patients than for White patients. Thus, despite health care cost appearing to be an effective proxy for health by some measures of predictive accuracy, large racial biases arise. We suggest that the choice of convenient, seemingly effective proxies for ground truth can be an important source of algorithmic bias in many contexts."
22,10.1001/jama.2022.10561,"The promise of artificial intelligence (AI) to improve and reduce inequities in access, quality, and appropriateness of high-quality diagnosis remains largely unfulfilled. Vast clinical data sets, extensive computational capacity, and highly developed and accessible machine-learning tools have resulted in numerous publications that describe high-performing algorithmic approaches for a variety of diagnostic tasks. However, such approaches remain largely unadopted in clinical practice."
23,10.1038/s43856-021-00028-w,"Several sources of bias can affect the performance of machine learning systems used in medicine and potentially impact clinical care. Here, we discuss solutions to mitigate bias across the different development steps of machine learning-based systems for medical applications."
24,10.1186/s13054-018-2171-1,"Measurement of arterial pressure is one of the most basic elements of patient management. Arterial pressure is determined by the volume ejected by the heart into the arteries, the elastance of the walls of the arteries, and the rate at which the blood flows out of the arteries. This review will discuss the three forces that determine the pressure in a vessel: elastic, kinetic, and gravitational energy. Emphasis will be placed on the importance of the distribution of arterial resistances, the elastance of the walls of the large vessels, and critical closing pressures in small arteries and arterioles. Regulation of arterial pressure occurs through changes in cardiac output and changes in vascular resistance, but these two controlled variables can sometimes be in conflict."
27,,"Assessing the pulse is a common procedure and an important aspect of many nursing interventions; it should always be done with care and reassessed as needed. Assessment should always be taken seriously, with any deviations from the norm reported to a senior clinician, and pulse rate, rhythm and strength must always be documented. Pulses indicate numerous patient characteristics including the degree of relaxation, regularity of cardiac contractions and sufficiency of cardiac output. This article considers the relevant anatomy, physiology and practice of pulse assessment and recording."
